category,scenario,url,status,selector_asserted,ms,error
L,demo_acs_median_income (county choropleth),http://localhost:3001/atlas.html?layer=demo_acs_median_income,pass,legend label populated w/ 'Median Househo',2105,
L,demo_irs_county_agi_per_return (county choropleth),http://localhost:3001/atlas.html?layer=demo_irs_county_agi_per_return,pass,legend label populated w/ 'Avg AGI per Ta',2280,
L,demo_irs_migration_net_agi (county choropleth),http://localhost:3001/atlas.html?layer=demo_irs_migration_net_agi,pass,legend label populated w/ 'Net Migration ',6840,
L,disaster_fema_declarations (county choropleth),http://localhost:3001/atlas.html?layer=disaster_fema_declarations,pass,legend label populated w/ 'FEMA Disaster ',2980,
L,disaster_nri (county choropleth),http://localhost:3001/atlas.html?layer=disaster_nri,pass,legend label populated w/ 'Natural-Hazard',1475,
L,econ_cbp_establishments_county (county choropleth),http://localhost:3001/atlas.html?layer=econ_cbp_establishments_county,pass,legend label populated w/ 'Business Estab',2167,
L,econ_cbp_establishments_state (state choropleth),http://localhost:3001/atlas.html?layer=econ_cbp_establishments_state,pass,legend label populated w/ 'Business Estab',1930,
L,econ_federal_dollars (county choropleth),http://localhost:3001/atlas.html?layer=econ_federal_dollars,pass,legend label populated w/ 'Federal Contra',2044,
L,econ_sec_active_filers (state choropleth),http://localhost:3001/atlas.html?layer=econ_sec_active_filers,pass,legend label populated w/ 'SEC-Active Fil',1503,
L,energy_power_plants (point overlay),http://localhost:3001/atlas.html?layer=disaster_nri&overlay=energy_power_plants,pass,layer-btn[energy_power_plants] has active-overlay class,2583,
L,energy_substations (point overlay),http://localhost:3001/atlas.html?layer=disaster_nri&overlay=energy_substations,pass,layer-btn[energy_substations] has active-overlay class,2039,
L,env_brownfields (point overlay),http://localhost:3001/atlas.html?layer=disaster_nri&overlay=env_brownfields,pass,layer-btn[env_brownfields] has active-overlay class,2433,
L,env_epa_facilities (point overlay),http://localhost:3001/atlas.html?layer=disaster_nri&overlay=env_epa_facilities,pass,layer-btn[env_epa_facilities] has active-overlay class,2815,
L,env_water_monitoring (point overlay),http://localhost:3001/atlas.html?layer=disaster_nri&overlay=env_water_monitoring,pass,layer-btn[env_water_monitoring] has active-overlay class,2459,
L,finance_fdic_county_deposits (county choropleth),http://localhost:3001/atlas.html?layer=finance_fdic_county_deposits,pass,legend label populated w/ 'Bank Deposits ',1521,
L,infra_broadband_subscription (county choropleth),http://localhost:3001/atlas.html?layer=infra_broadband_subscription,pass,legend label populated w/ 'Broadband Subs',1665,
L,infra_data_centers (point overlay),http://localhost:3001/atlas.html?layer=disaster_nri&overlay=infra_data_centers,pass,layer-btn[infra_data_centers] has active-overlay class,1987,
L,infra_fcc_providers_state (state choropleth),http://localhost:3001/atlas.html?layer=infra_fcc_providers_state,pass,legend label populated w/ 'Broadband Prov',1499,
L,realestate_building_permits (county choropleth),http://localhost:3001/atlas.html?layer=realestate_building_permits,pass,legend label populated w/ 'Building Permi',1831,
L,trade_exports_state (state choropleth),http://localhost:3001/atlas.html?layer=trade_exports_state,pass,legend label populated w/ 'State Exports',2282,
L,transport_airports (point overlay),http://localhost:3001/atlas.html?layer=disaster_nri&overlay=transport_airports,pass,layer-btn[transport_airports] has active-overlay class,2452,
L,transport_rail_density (state choropleth),http://localhost:3001/atlas.html?layer=transport_rail_density,pass,legend label populated w/ 'Rail Segment D',1947,
D,landing-default-layer,http://localhost:3001/atlas.html,pass,legend label populated w/ 'Natural',1604,
D,bivariate-compare,http://localhost:3001/atlas.html?layer=demo_irs_county_agi_per_return&compare=disaster_nri,pass,bivariate 9-cell grid,2022,
D,brushed-histogram,http://localhost:3001/atlas.html?layer=disaster_nri,pass,brush group present · legend label populated,1507,
D,migration-arcs,http://localhost:3001/atlas.html?layer=demo_irs_migration_net_agi,pass,migration arcs >=50,4005,
D,place-panel-sparklines,http://localhost:3001/atlas.html?layer=finance_fdic_county_deposits&place=48201,pass,sparklines >=1 · place-layer cards >=4,4301,
D,fema-time-scrubber,http://localhost:3001/atlas.html?layer=disaster_fema_declarations,pass,FEMA year scrubber visible · legend label populated,2581,
D,cbp-time-scrubber,http://localhost:3001/atlas.html?layer=econ_cbp_establishments_county,pass,FEMA year scrubber visible · legend label populated w/ 'Business',1998,
D,place-calendar-heatmap,http://localhost:3001/atlas.html?place=48201,pass,place calendar SVG,2970,
D,recent-activity-panel,http://localhost:3001/atlas.html?recent=1,pass,recent-item count >=10,2129,
D,recent-sec-source-chip,http://localhost:3001/atlas.html?recent=1,pass,recent-item count >=10 · recent panel contains SEC source chip,2197,
P,Harris Co TX (48201),http://localhost:3001/atlas.html?place=48201,pass,place-layer cards >=4,3500,
P,Arlington Co VA (51013),http://localhost:3001/atlas.html?place=51013,pass,place-layer cards >=4,2719,
P,LA County CA (06037),http://localhost:3001/atlas.html?place=06037,pass,place-layer cards >=4,6398,
P,New York County NY (36061),http://localhost:3001/atlas.html?place=36061,pass,place-layer cards >=4,5263,
P,Cook County IL (17031),http://localhost:3001/atlas.html?place=17031,pass,place-layer cards >=4,6890,
P,Maricopa County AZ (04013),http://localhost:3001/atlas.html?place=04013,pass,place-layer cards >=4,3160,
P,San Francisco CA (06075),http://localhost:3001/atlas.html?place=06075,pass,place-layer cards >=4,2882,
P,Miami-Dade FL (12086),http://localhost:3001/atlas.html?place=12086,pass,place-layer cards >=4,4654,
